
2022/03/31 (23:16:05) | ===> btop++ v.1.2.5
2022/03/31 (23:16:05) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/31 (23:16:14) | ===> btop++ v.1.2.5
2022/03/31 (23:16:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/31 (23:16:43) | ===> btop++ v.1.2.5
2022/03/31 (23:16:43) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/31 (23:17:21) | ===> btop++ v.1.2.5
2022/03/31 (23:17:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/31 (23:17:51) | ===> btop++ v.1.2.5
2022/03/31 (23:17:51) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/31 (23:17:52) | ===> btop++ v.1.2.5
2022/03/31 (23:17:52) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/31 (23:18:15) | ===> btop++ v.1.2.5
2022/03/31 (23:18:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/31 (23:23:40) | ===> btop++ v.1.2.5
2022/03/31 (23:23:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/31 (23:43:22) | ===> btop++ v.1.2.5
2022/03/31 (23:43:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/01 (00:28:07) | ===> btop++ v.1.2.5
2022/04/01 (00:28:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/01 (18:17:51) | ===> btop++ v.1.2.5
2022/04/01 (18:17:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/02 (18:51:19) | ===> btop++ v.1.2.5
2022/04/02 (18:51:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2022/04/02 (18:53:30) | ERROR: Stall in Runner thread, restarting!

2022/04/02 (19:08:04) | ===> btop++ v.1.2.5
2022/04/02 (19:08:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/02 (20:25:58) | ===> btop++ v.1.2.5
2022/04/02 (20:25:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/04 (15:55:56) | ===> btop++ v.1.2.5
2022/04/04 (15:55:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

